T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS,FlareClass
2011.09.22_15:24:00_TAI,856,5144.339,16.305,5.679985e+23,5.579171e+22,0.00539458,448.495,18603090000000,0.0142526,29.721,64824080000000,3338.745,35.38,99.388,0.07581525,1895.952393,4.669,94.341,44.149,11295,M
2011.09.22_15:24:00_TAI,856,5144.339,16.305,5.679985e+23,5.579171e+22,0.00539458,448.495,18603090000000,0.0142526,29.721,64824080000000,3338.745,35.38,99.388,0.07581525,1895.952393,4.669,94.341,44.149,11295,M
2011.09.22_15:24:00_TAI,856,5144.339,16.305,5.679985e+23,5.579171e+22,0.00539458,448.495,18603090000000,0.0142526,29.721,64824080000000,3338.745,35.38,99.388,0.07581525,1895.952393,4.669,94.341,44.149,11295,M
2011.09.22_15:36:00_TAI,856,5218.502,16.082,5.634971e+23,5.535431e+22,0.00566352,460.473,19895990000000,0.01465721,29.625,62786060000000,3269.426,35.153,99.852,0.07201654,1889.164917,4.682,95.04,44.275,11295,M
2011.09.22_15:36:00_TAI,856,5218.502,16.082,5.634971e+23,5.535431e+22,0.00566352,460.473,19895990000000,0.01465721,29.625,62786060000000,3269.426,35.153,99.852,0.07201654,1889.164917,4.682,95.04,44.275,11295,M
2011.09.22_15:36:00_TAI,856,5218.502,16.082,5.634971e+23,5.535431e+22,0.00566352,460.473,19895990000000,0.01465721,29.625,62786060000000,3269.426,35.153,99.852,0.07201654,1889.164917,4.682,95.04,44.275,11295,M
2011.09.22_15:48:00_TAI,856,5273.436,16.332,5.687916e+23,5.520494e+22,0.00566833,460.353,20779760000000,0.01468663,29.712,63736900000000,3276.43,35.353,100.372,0.05770396,1877.125122,4.683,95.337,44.425,11295,M
2011.09.22_15:48:00_TAI,856,5273.436,16.332,5.687916e+23,5.520494e+22,0.00566833,460.353,20779760000000,0.01468663,29.712,63736900000000,3276.43,35.353,100.372,0.05770396,1877.125122,4.683,95.337,44.425,11295,M
2011.09.22_15:48:00_TAI,856,5273.436,16.332,5.687916e+23,5.520494e+22,0.00566833,460.353,20779760000000,0.01468663,29.712,63736900000000,3276.43,35.353,100.372,0.05770396,1877.125122,4.683,95.337,44.425,11295,M
2011.09.22_16:00:00_TAI,856,5387.168,16.685,5.766875e+23,5.490284e+22,0.00533933,430.382,17495010000000,0.01373335,30.017,63505680000000,3257.02,35.637,100.636,0.04787413,1881.762573,4.68,95.299,44.581,11295,M
2011.09.22_16:00:00_TAI,856,5387.168,16.685,5.766875e+23,5.490284e+22,0.00533933,430.382,17495010000000,0.01373335,30.017,63505680000000,3257.02,35.637,100.636,0.04787413,1881.762573,4.68,95.299,44.581,11295,M
2011.09.22_16:00:00_TAI,856,5387.168,16.685,5.766875e+23,5.490284e+22,0.00533933,430.382,17495010000000,0.01373335,30.017,63505680000000,3257.02,35.637,100.636,0.04787413,1881.762573,4.68,95.299,44.581,11295,M
2011.09.22_16:12:00_TAI,856,5406.971,16.602,5.703053e+23,5.487273e+22,0.00567234,450.503,19032780000000,0.01429725,29.802,63061480000000,3283.595,35.396,100.978,0.02045038,1882.471558,4.69,96.093,44.814,11295,M
2011.09.22_16:12:00_TAI,856,5406.971,16.602,5.703053e+23,5.487273e+22,0.00567234,450.503,19032780000000,0.01429725,29.802,63061480000000,3283.595,35.396,100.978,0.02045038,1882.471558,4.69,96.093,44.814,11295,M
2011.09.22_16:12:00_TAI,856,5406.971,16.602,5.703053e+23,5.487273e+22,0.00567234,450.503,19032780000000,0.01429725,29.802,63061480000000,3283.595,35.396,100.978,0.02045038,1882.471558,4.69,96.093,44.814,11295,M
2011.09.22_16:24:00_TAI,856,5495.225,16.493,5.68543e+23,5.445041e+22,0.00552716,430.577,17718630000000,0.01368315,29.821,61795130000000,3243.108,35.293,101.162,-0.00211103,1876.022461,4.658,96.644,44.968,11295,M
2011.09.22_16:24:00_TAI,856,5495.225,16.493,5.68543e+23,5.445041e+22,0.00552716,430.577,17718630000000,0.01368315,29.821,61795130000000,3243.108,35.293,101.162,-0.00211103,1876.022461,4.658,96.644,44.968,11295,M
2011.09.22_16:24:00_TAI,856,5495.225,16.493,5.68543e+23,5.445041e+22,0.00552716,430.577,17718630000000,0.01368315,29.821,61795130000000,3243.108,35.293,101.162,-0.00211103,1876.022461,4.658,96.644,44.968,11295,M
2011.09.22_16:36:00_TAI,856,5560.621,16.454,5.705828e+23,5.448978e+22,0.00563691,435.53,18454650000000,0.01380318,29.849,62678550000000,3285.734,35.126,102.14,-0.01166545,1866.44458,4.67,97.17,45.56,11295,M
2011.09.22_16:36:00_TAI,856,5560.621,16.454,5.705828e+23,5.448978e+22,0.00563691,435.53,18454650000000,0.01380318,29.849,62678550000000,3285.734,35.126,102.14,-0.01166545,1866.44458,4.67,97.17,45.56,11295,M
2011.09.22_16:36:00_TAI,856,5560.621,16.454,5.705828e+23,5.448978e+22,0.00563691,435.53,18454650000000,0.01380318,29.849,62678550000000,3285.734,35.126,102.14,-0.01166545,1866.44458,4.67,97.17,45.56,11295,M
2011.09.22_16:48:00_TAI,856,5545.622,16.617,5.659357e+23,5.458333e+22,0.00547949,421.049,18975860000000,0.01327737,29.865,62819350000000,3301.163,34.967,101.906,-0.0297165,1856.099121,4.633,97.163,45.371,11295,M
2011.09.22_16:48:00_TAI,856,5545.622,16.617,5.659357e+23,5.458333e+22,0.00547949,421.049,18975860000000,0.01327737,29.865,62819350000000,3301.163,34.967,101.906,-0.0297165,1856.099121,4.633,97.163,45.371,11295,M
2011.09.22_16:48:00_TAI,856,5545.622,16.617,5.659357e+23,5.458333e+22,0.00547949,421.049,18975860000000,0.01327737,29.865,62819350000000,3301.163,34.967,101.906,-0.0297165,1856.099121,4.633,97.163,45.371,11295,M
2011.09.22_17:00:00_TAI,856,5629.683,16.735,5.716134e+23,5.462495e+22,0.0053988,412.765,17664360000000,0.01296091,29.94,62830600000000,3303.321,35.033,102.669,-0.05229211,1848.330811,4.667,97.409,45.428,11295,M
2011.09.22_17:00:00_TAI,856,5629.683,16.735,5.716134e+23,5.462495e+22,0.0053988,412.765,17664360000000,0.01296091,29.94,62830600000000,3303.321,35.033,102.669,-0.05229211,1848.330811,4.667,97.409,45.428,11295,M
2011.09.22_17:00:00_TAI,856,5629.683,16.735,5.716134e+23,5.462495e+22,0.0053988,412.765,17664360000000,0.01296091,29.94,62830600000000,3303.321,35.033,102.669,-0.05229211,1848.330811,4.667,97.409,45.428,11295,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,X
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,X
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,X
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,X
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,X
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,X
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,X
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
